GRN no.,First Name,Middle Name,Last Name,Mother's Name,Student Mobile Number,Parents Mobile Number,Email,Course,Faculty,Samiti Year,College Year,Duration of Course (years),Hostel Allocation,Wing,Floor,Room no.
M2425-11543,Pooja,L,Joshi,Lata Pawar,6790944338,8422925837,pooja.joshi88@example.com,B.Com,Commerce,2022,Third,2,New Girls Hostel,A,2,209
M2425-11544,Isha,M,Shinde,Usha Kulkarni,6130476920,6072466245,isha.shinde89@example.com,B.Com,Commerce,2022,First,3,New Girls Hostel,A,2,210
M2425-11545,Aniket,S,Gavankar,Meena Rane,6926572016,9791098154,aniket.gavankar17@example.com,B.Com,Commerce,2022,Third,2,New Girls Hostel,A,2,211
M2425-11546,Sai,T,More,Sunita Kadam,8911641689,8776386695,sai.more29@example.com,BBA,Management,2025,First,4,New Girls Hostel,A,2,212
M2425-11547,Vaishnavi,T,Patil,Seema Gavankar,6134889547,6028742554,vaishnavi.patil75@example.com,B.Tech,Engineering,2024,Fourth,4,New Girls Hostel,A,2,213
M2425-11548,Isha,V,Pawar,Rekha Patil,7719958855,9266140073,isha.pawar11@example.com,B.Sc,Science,2021,Third,2,New Girls Hostel,A,3,301
M2425-11549,Sneha,N,Rane,Seema Deshmukh,7451325984,7449935313,sneha.rane91@example.com,B.A,Arts,2021,Fourth,3,New Girls Hostel,A,3,302
M2425-11550,Prajakta,V,Rane,Lata Kadam,8764446637,8336131120,prajakta.rane38@example.com,M.Com,Commerce,2024,Second,3,New Girls Hostel,A,3,303
M2425-11551,Mitali,R,Shinde,Kavita Joshi,8649173028,9735169429,mitali.shinde57@example.com,BCA,Computer Science,2023,Second,4,New Girls Hostel,A,3,304
M2425-11552,Amol,L,More,Meena Patil,9657526195,9018645729,amol.more33@example.com,BBA,Management,2022,First,4,New Girls Hostel,A,3,305
M2425-11553,Anjali,K,Pawar,Sangeeta Gavankar,6633067881,7604989792,anjali.pawar20@example.com,BBA,Management,2021,Second,3,New Girls Hostel,A,3,306
M2425-11554,Aarav,M,Kulkarni,Kavita Gavankar,8852270844,6080965166,aarav.kulkarni89@example.com,B.A,Arts,2024,Second,4,New Girls Hostel,A,3,307
M2425-11555,Aniket,K,Pawar,Kavita Kadam,9987338953,8200143553,aniket.pawar64@example.com,B.A,Arts,2025,First,4,New Girls Hostel,A,3,308
M2425-11556,Anjali,V,Gavankar,Sunita Rane,8870593386,7126232260,anjali.gavankar51@example.com,Diploma,Polytechnic,2021,First,4,New Girls Hostel,A,3,309
M2425-11557,Aditya,R,Shinde,Archana Kulkarni,7048541065,6962602592,aditya.shinde11@example.com,BBA,Management,2021,Second,3,New Girls Hostel,A,3,310
M2425-11558,Neha,V,Gavankar,Archana Pawar,9025358666,7210098780,neha.gavankar94@example.com,BCA,Computer Science,2021,Second,2,New Girls Hostel,A,3,311
M2425-11559,Siddharth,R,Joshi,Meena Rane,8258159036,9425795739,siddharth.joshi64@example.com,BCA,Computer Science,2025,First,2,New Girls Hostel,A,3,312
M2425-11560,Siddharth,M,Patil,Meena Joshi,8384764104,6429058772,siddharth.patil73@example.com,B.A,Arts,2022,First,3,New Girls Hostel,A,3,313
M2425-11561,Prajakta,R,Shinde,Seema Pawar,6858337834,6687679964,prajakta.shinde56@example.com,B.Tech,Engineering,2021,First,4,New Girls Hostel,A,4,401
M2425-11562,Karan,M,Gavankar,Kavita Gavankar,8090928581,6794340141,karan.gavankar67@example.com,Diploma,Polytechnic,2025,Third,2,New Girls Hostel,A,4,402
M2425-11563,Neha,T,Rane,Usha Gavankar,6575616078,6469340182,neha.rane85@example.com,Diploma,Polytechnic,2021,First,3,New Girls Hostel,A,4,403
M2425-11564,Siddharth,D,Rane,Lata Kadam,7496377158,7108992296,siddharth.rane84@example.com,Diploma,Polytechnic,2023,First,2,New Girls Hostel,A,4,404
M2425-11565,Isha,P,Deshmukh,Usha Shinde,6468226959,8196273667,isha.deshmukh24@example.com,B.Tech,Engineering,2023,Third,2,New Girls Hostel,A,4,405
M2425-11566,Sai,V,Pawar,Rekha Patil,9520302913,6681302039,sai.pawar41@example.com,BBA,Management,2025,Third,3,New Girls Hostel,A,4,406
M2425-11567,Neha,V,More,Usha Kulkarni,9115569821,6693702366,neha.more31@example.com,BBA,Management,2022,Third,3,New Girls Hostel,A,4,407
M2425-11568,Siddharth,T,Gavankar,Seema Rane,8115325740,8393142422,siddharth.gavankar54@example.com,B.A,Arts,2021,Third,3,New Girls Hostel,A,4,408
M2425-11569,Neha,N,Patil,Lata Rane,8927354097,6175286999,neha.patil73@example.com,BBA,Management,2023,First,4,New Girls Hostel,A,4,409
M2425-11570,Aniket,D,Shinde,Neeta Gavankar,9370513948,6914882840,aniket.shinde94@example.com,BBA,Management,2025,First,4,New Girls Hostel,A,4,410
M2425-11571,Aarav,L,Gavankar,Lata Deshmukh,8331765827,9683328318,aarav.gavankar62@example.com,B.Tech,Engineering,2025,Second,3,New Girls Hostel,A,4,411
M2425-11572,Aditi,R,Shinde,Archana Kulkarni,7048541065,6962602592,aditya.shinde11@example.com,BBA,Management,2021,Second,3,New Girls Hostel,A,4,412
M2425-11573,Akaay,L,More,Meena Patil,9657526195,9018645729,amol.more33@example.com,BBA,Management,2022,First,4,New Girls Hostel,A,4,413
